"C1"	"100uF/15V"	
"C3"	"47pF"	
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, 
C20, C21"	"100nF"	
"J1"	"2.54m male pinheader 2 x 13 pin "	
"DISPLAY"	"IDC 2.54mm 2x7 pin 14 pin straight male shrouded header"	
"R5, R6, R7, R8, R9, R10, R11, R33, R88"	"100k"	
"R13, R14"	"10k"	
"R18"	"2K"	
"R89_1/4W"	"15K"	
"R90_1/4W"	"4.7K"	
"U1"	"74HC374N"	"DIL20"
"U2"	"74HC00N"	"DIL14"
"U3"	"74HC04N"	"DIL14"
"U4"	"74HC259N"	"DIL16"
"U5"	"7407N"	"DIL14"
"U6"	"74HC139N"	"DIL16"
"U7"	6264	"DIL28-6"
"U8"	"DIL32 precision IC socket"	
"U9"	"4020N"	"DIL16"
"U10"	"74HC153N"	"DIL16"
"U11"	"74HC74N"	"DIL14"
"U12"	"Z80 CPU 4MHZ Z847004PSC "	"DIL40"
"X2"	"VH3.96 4PIN"	
"Y1"	"8Mhz"	"HC49U70"
